"NAME","CONFIRMEDS","RECOVEREDS","DEATHS"
"كلميم",78,63,2
"سيدي افني",26,19,0
"اسا الزاك",7,2,0
"طانطان",106,82,2
"وادي الذهب",246,83,0
"اوسرد",2,0,0
"العيون",763,753,1
"بوجدور",4,4,0
"طرفاية",97,72,0
"السمارة",0,0,0
"اكادير ادا وتنان",189,80,6
"انزكان ايت ملول",102,63,1
"طاطا",19,5,1
"تيزنيت",23,5,0
"شتوكة ايت باها",20,10,3
"تارودانت",29,8,0
"ورززات",766,639,14
"ميدلت",130,96,0
"زاكورة",79,27,2
"تنغير",79,34,0
"الرشيدية",349,102,8
"مراكش",4247,2264,84
"الرحامنة",312,281,2
"الحوز",264,195,8
"شيشاوة",39,25,1
"قلعة السراغنة",107,67,1
"الصويرة",30,14,2
"اسفي",773,742,4
"اليوسفية",66,15,0
"الدار البيضاء",1882,1641,45
"المحمدية",331,283,1
"مديونة",167,119,0
"النواصر",90,75,0
"سطات",68,62,3
"برشيد",65,49,0
"الجديدة",35,33,2
"بنسليمان",85,58,0
"سيدي بنور",11,2,0
"ازيلال",172,75,0
"خريبكة",139,47,4
"الفقيه بن صالح",123,52,2
"بني ملال",650,153,3
"خنيفرة",132,79,4
"الرباط",305,273,5
"سلا",245,221,5
"الصخيرات تمارة",151,138,1
"القنيطرة",61,34,1
"الخميسات",22,21,0
"سيدي سليمان",1,1,0
"سيدي قاسم",0,0,0
"فاس",4458,3859,66
"مكناس",621,345,18
"الحاجب",218,164,2
"تازة",254,86,2
"صفرو",352,227,5
"افران",65,36,1
"تاونات",105,66,2
"مولاي يعقوب",136,65,0
"بولمان",69,18,1
"وجدة انكاد",90,74,6
"الناظور",45,45,0
"بركان",55,53,2
"الدريوش",10,10,0
"تاوريرت",9,9,0
"جرسيف",8,8,0
"فكيك",1,1,0
"جرادة",37,4,0
"طنجة اصيلة",2415,1887,58
"العرائش",404,391,2
"تطوان",367,194,7
"الحسيمة",18,17,0
"وزان",47,45,1
"الفحص انجرة",49,0,0
"المضيق",14,0,0
"شفشاون",3,0,0
