date,case,recovered,death,plat
30-Jul-20,675,26,0,737
24-Jul-20,301,26,0,301
17-Jul-20,199,26,0,199
10-Jul-20,291,82,0,291
3-Jul-20,236,82,0,236
26-Jun-20,288,63,0,288
19-Jun-20,143,44,0,143
12-Jun-20,78,44,0,78
5-Jun-20,45,44,0,45
29-May-20,54,434,0,54
22-May-20,97,71,1,97
15-May-20,134,98,0,134
8-May-20,163,257,0,163
1-May-20,115,215,5,115
24-Apr-20,170,102,1,170
17-Apr-20,159,23,2,159
10-Apr-20,93,26,8,93
3-Apr-20,63,5,10,63
27-Mar-20,38,2,7,38
20-Mar-20,10,2,0,10
13-Mar-20,0,0,0,0
6-Mar-20,0,0,0,0
1-Mar-20,0,0,0,0
